Student ID,Student Name,Subject,Subject Code,Attempt,Marks,Grade
25,DINESH KARTHIK R,Database,CS105,1,74,B
26,DINESH KUMAR S,Mathematics,MATH101,1,73,B
26,DINESH KUMAR S,Python,PY102,1,52,D
26,DINESH KUMAR S,Machine Learning,ML103,1,35,E
26,DINESH KUMAR S,English,GP104,1,52,D
26,DINESH KUMAR S,Database,CS105,1,37,E
27,DOMINIC FRANCIS E,Mathematics,MATH101,1,91,S
27,DOMINIC FRANCIS E,Python,PY102,1,30,F
27,DOMINIC FRANCIS E,Python,PY102,2,44,E
27,DOMINIC FRANCIS E,Machine Learning,ML103,1,35,E
27,DOMINIC FRANCIS E,English,GP104,1,49,D
27,DOMINIC FRANCIS E,Database,CS105,1,86,S
28,DRAVID V,Mathematics,MATH101,1,38,E
28,DRAVID V,Python,PY102,1,34,F
28,DRAVID V,Python,PY102,2,42,E
28,DRAVID V,Machine Learning,ML103,1,73,B
28,DRAVID V,English,GP104,1,97,S
28,DRAVID V,Database,CS105,1,77,A
29,EATHAN BALA B,Mathematics,MATH101,1,44,E
29,EATHAN BALA B,Python,PY102,1,91,S
29,EATHAN BALA B,Machine Learning,ML103,1,36,E
29,EATHAN BALA B,English,GP104,1,33,F
29,EATHAN BALA B,English,GP104,2,42,E
29,EATHAN BALA B,Database,CS105,1,98,S
30,FAAHIMA K,Mathematics,MATH101,1,52,D
30,FAAHIMA K,Python,PY102,1,58,C
30,FAAHIMA K,Machine Learning,ML103,1,94,S
30,FAAHIMA K,English,GP104,1,47,D
30,FAAHIMA K,Database,CS105,1,66,B
31,FARHAN M,Mathematics,MATH101,1,66,B
31,FARHAN M,Python,PY102,1,63,C
31,FARHAN M,Machine Learning,ML103,1,48,D
31,FARHAN M,English,GP104,1,65,B
31,FARHAN M,Database,CS105,1,34,F
31,FARHAN M,Database,CS105,2,47,D
32,GOKULAN V,Mathematics,MATH101,1,65,B
32,GOKULAN V,Python,PY102,1,33,F
32,GOKULAN V,Python,PY102,2,43,E
32,GOKULAN V,Machine Learning,ML103,1,55,C
32,GOKULAN V,English,GP104,1,34,F
32,GOKULAN V,English,GP104,2,47,D
32,GOKULAN V,Database,CS105,1,77,A
33,GOKULANJALI M,Mathematics,MATH101,1,60,C
33,GOKULANJALI M,Python,PY102,1,73,B
33,GOKULANJALI M,Machine Learning,ML103,1,33,F
33,GOKULANJALI M,Machine Learning,ML103,2,42,E
33,GOKULANJALI M,English,GP104,1,59,C
33,GOKULANJALI M,Database,CS105,1,85,S
34,GOKULAVASAN S,Mathematics,MATH101,1,53,D
34,GOKULAVASAN S,Python,PY102,1,96,S
34,GOKULAVASAN S,Machine Learning,ML103,1,38,E
34,GOKULAVASAN S,English,GP104,1,48,D
34,GOKULAVASAN S,Database,CS105,1,80,A
35,HARESH G,Mathematics,MATH101,1,69,B
35,HARESH G,Python,PY102,1,37,E
35,HARESH G,Machine Learning,ML103,1,71,B
35,HARESH G,English,GP104,1,40,E
35,HARESH G,Database,CS105,1,42,E
36,HARINI R,Mathematics,MATH101,1,58,C
36,HARINI R,Python,PY102,1,37,E
36,HARINI R,Machine Learning,ML103,1,65,B
36,HARINI R,English,GP104,1,61,C
36,HARINI R,Database,CS105,1,52,D
37,HEMA PRIYA R,Mathematics,MATH101,1,67,B
37,HEMA PRIYA R,Python,PY102,1,52,D
37,HEMA PRIYA R,Machine Learning,ML103,1,57,C
37,HEMA PRIYA R,English,GP104,1,64,C
37,HEMA PRIYA R,Database,CS105,1,72,B
38,ILAKIYA S,Mathematics,MATH101,1,35,E
38,ILAKIYA S,Python,PY102,1,84,A
38,ILAKIYA S,Machine Learning,ML103,1,84,A
38,ILAKIYA S,English,GP104,1,75,A
38,ILAKIYA S,Database,CS105,1,90,S
39,IYYAPPAN A,Mathematics,MATH101,1,61,C
39,IYYAPPAN A,Python,PY102,1,78,A
39,IYYAPPAN A,Machine Learning,ML103,1,81,A
39,IYYAPPAN A,English,GP104,1,82,A
39,IYYAPPAN A,Database,CS105,1,59,C
40,JAGADEESH K,Mathematics,MATH101,1,58,C
40,JAGADEESH K,Python,PY102,1,49,D
40,JAGADEESH K,Machine Learning,ML103,1,44,E
40,JAGADEESH K,English,GP104,1,83,A
40,JAGADEESH K,Database,CS105,1,41,E
41,JALUM DHINESH,Mathematics,MATH101,1,33,F
41,JALUM DHINESH,Mathematics,MATH101,2,41,E
41,JALUM DHINESH,Python,PY102,1,66,B
41,JALUM DHINESH,Machine Learning,ML103,1,36,E
41,JALUM DHINESH,English,GP104,1,50,D
41,JALUM DHINESH,Database,CS105,1,59,C
42,JAYAGUNALAN J,Mathematics,MATH101,1,42,E
42,JAYAGUNALAN J,Python,PY102,1,36,E
42,JAYAGUNALAN J,Machine Learning,ML103,1,87,S
42,JAYAGUNALAN J,English,GP104,1,70,B
42,JAYAGUNALAN J,Database,CS105,1,63,C
43,JEEVETHA S,Mathematics,MATH101,1,45,D
43,JEEVETHA S,Python,PY102,1,45,D
43,JEEVETHA S,Machine Learning,ML103,1,94,S
43,JEEVETHA S,English,GP104,1,83,A
43,JEEVETHA S,Database,CS105,1,92,S
44,JEGATHA  P,Mathematics,MATH101,1,63,C
44,JEGATHA  P,Python,PY102,1,37,E
44,JEGATHA  P,Machine Learning,ML103,1,100,S
44,JEGATHA  P,English,GP104,1,36,E
44,JEGATHA  P,Database,CS105,1,60,C
45,KALAISELVAM M,Mathematics,MATH101,1,70,B
45,KALAISELVAM M,Python,PY102,1,46,D
45,KALAISELVAM M,Machine Learning,ML103,1,53,D
45,KALAISELVAM M,English,GP104,1,99,S
45,KALAISELVAM M,Database,CS105,1,65,B
46,KAMALESH M,Mathematics,MATH101,1,87,S
46,KAMALESH M,Python,PY102,1,39,E
46,KAMALESH M,Machine Learning,ML103,1,51,D
46,KAMALESH M,English,GP104,1,55,C
46,KAMALESH M,Database,CS105,1,74,B
47,KANNAN S,Mathematics,MATH101,1,62,C
47,KANNAN S,Python,PY102,1,90,S
47,KANNAN S,Machine Learning,ML103,1,88,S
47,KANNAN S,English,GP104,1,82,A
47,KANNAN S,Database,CS105,1,90,S
48,KARTHIKEYAN P,Mathematics,MATH101,1,34,F
48,KARTHIKEYAN P,Mathematics,MATH101,2,42,E
48,KARTHIKEYAN P,Python,PY102,1,94,S
48,KARTHIKEYAN P,Machine Learning,ML103,1,85,S
48,KARTHIKEYAN P,English,GP104,1,58,C
48,KARTHIKEYAN P,Database,CS105,1,72,B
49,KATHIROLI B,Mathematics,MATH101,1,57,C
49,KATHIROLI B,Python,PY102,1,51,D
49,KATHIROLI B,Machine Learning,ML103,1,69,B
49,KATHIROLI B,English,GP104,1,64,C
49,KATHIROLI B,Database,CS105,1,33,F
49,KATHIROLI B,Database,CS105,2,38,E
50,KAVESH V,Mathematics,MATH101,1,61,C
50,KAVESH V,Python,PY102,1,40,E
50,KAVESH V,Machine Learning,ML103,1,89,S
50,KAVESH V,English,GP104,1,33,F
50,KAVESH V,English,GP104,2,45,D
50,KAVESH V,Database,CS105,1,71,B
51,KEERTHANA R,Mathematics,MATH101,1,85,S
51,KEERTHANA R,Python,PY102,1,77,A
51,KEERTHANA R,Machine Learning,ML103,1,88,S
51,KEERTHANA R,English,GP104,1,33,F
51,KEERTHANA R,English,GP104,2,45,D
51,KEERTHANA R,Database,CS105,1,75,A
52,KEERTHANA A,Mathematics,MATH101,1,59,C
52,KEERTHANA A,Python,PY102,1,71,B
52,KEERTHANA A,Machine Learning,ML103,1,31,F
52,KEERTHANA A,Machine Learning,ML103,2,38,E
52,KEERTHANA A,English,GP104,1,63,C
52,KEERTHANA A,Database,CS105,1,60,C
53,KEERTHIVAASAN V,Mathematics,MATH101,1,92,S
53,KEERTHIVAASAN V,Python,PY102,1,60,C
53,KEERTHIVAASAN V,Machine Learning,ML103,1,69,B
53,KEERTHIVAASAN V,English,GP104,1,61,C
53,KEERTHIVAASAN V,Database,CS105,1,46,D
54,KIRUBA P,Mathematics,MATH101,1,56,C
54,KIRUBA P,Python,PY102,1,60,C
54,KIRUBA P,Machine Learning,ML103,1,84,A
54,KIRUBA P,English,GP104,1,31,F
54,KIRUBA P,English,GP104,2,46,D
54,KIRUBA P,Database,CS105,1,87,S
55,KRISHNA KUMAR I,Mathematics,MATH101,1,91,S
55,KRISHNA KUMAR I,Python,PY102,1,51,D
55,KRISHNA KUMAR I,Machine Learning,ML103,1,58,C
55,KRISHNA KUMAR I,English,GP104,1,81,A
55,KRISHNA KUMAR I,Database,CS105,1,73,B
56,KUBERAN M,Mathematics,MATH101,1,56,C
56,KUBERAN M,Python,PY102,1,74,B
56,KUBERAN M,Machine Learning,ML103,1,74,B
56,KUBERAN M,English,GP104,1,93,S
56,KUBERAN M,Database,CS105,1,91,S
57,LAVANYA P,Mathematics,MATH101,1,81,A
57,LAVANYA P,Python,PY102,1,99,S
57,LAVANYA P,Machine Learning,ML103,1,100,S
57,LAVANYA P,English,GP104,1,87,S
57,LAVANYA P,Database,CS105,1,46,D
58,LECKHASRI K,Mathematics,MATH101,1,84,A
58,LECKHASRI K,Python,PY102,1,52,D
58,LECKHASRI K,Machine Learning,ML103,1,98,S
58,LECKHASRI K,English,GP104,1,61,C
58,LECKHASRI K,Database,CS105,1,91,S
59,LISHANTHIGA K,Mathematics,MATH101,1,90,S
59,LISHANTHIGA K,Python,PY102,1,31,F
59,LISHANTHIGA K,Python,PY102,2,38,E
59,LISHANTHIGA K,Machine Learning,ML103,1,77,A
59,LISHANTHIGA K,English,GP104,1,32,F
59,LISHANTHIGA K,English,GP104,2,42,E
59,LISHANTHIGA K,Database,CS105,1,40,E
60,LOKESH P,Mathematics,MATH101,1,88,S
60,LOKESH P,Python,PY102,1,55,C
60,LOKESH P,Machine Learning,ML103,1,35,E
60,LOKESH P,English,GP104,1,86,S
60,LOKESH P,Database,CS105,1,40,E
61,MAHESH KUMAR K,Mathematics,MATH101,1,100,S
61,MAHESH KUMAR K,Python,PY102,1,78,A
61,MAHESH KUMAR K,Machine Learning,ML103,1,95,S
61,MAHESH KUMAR K,English,GP104,1,90,S
61,MAHESH KUMAR K,Database,CS105,1,56,C
62,MOGAN G,Mathematics,MATH101,1,86,S
62,MOGAN G,Python,PY102,1,43,E
62,MOGAN G,Machine Learning,ML103,1,43,E
62,MOGAN G,English,GP104,1,55,C
62,MOGAN G,Database,CS105,1,59,C
63,MOGESH K ,Mathematics,MATH101,1,87,S
63,MOGESH K ,Python,PY102,1,46,D
63,MOGESH K ,Machine Learning,ML103,1,52,D
63,MOGESH K ,English,GP104,1,31,F
63,MOGESH K ,English,GP104,2,43,E
63,MOGESH K ,Database,CS105,1,95,S
64,MUJAHID GHOUSE MOHAMED,Mathematics,MATH101,1,36,E
64,MUJAHID GHOUSE MOHAMED,Python,PY102,1,50,D
64,MUJAHID GHOUSE MOHAMED,Machine Learning,ML103,1,53,D
64,MUJAHID GHOUSE MOHAMED,English,GP104,1,51,D
64,MUJAHID GHOUSE MOHAMED,Database,CS105,1,69,B
65,MUNESHWARAN S,Mathematics,MATH101,1,87,S
65,MUNESHWARAN S,Python,PY102,1,52,D
65,MUNESHWARAN S,Machine Learning,ML103,1,61,C
65,MUNESHWARAN S,English,GP104,1,67,B
65,MUNESHWARAN S,Database,CS105,1,62,C
66,NITHIAN M,Mathematics,MATH101,1,77,A
66,NITHIAN M,Python,PY102,1,41,E
66,NITHIAN M,Machine Learning,ML103,1,67,B
66,NITHIAN M,English,GP104,1,48,D
66,NITHIAN M,Database,CS105,1,50,D
67,NITHIN V,Mathematics,MATH101,1,46,D
67,NITHIN V,Python,PY102,1,50,D
67,NITHIN V,Machine Learning,ML103,1,86,S
67,NITHIN V,English,GP104,1,49,D
67,NITHIN V,Database,CS105,1,33,F
67,NITHIN V,Database,CS105,2,40,E
68,NITHISH P,Mathematics,MATH101,1,78,A
68,NITHISH P,Python,PY102,1,34,F
68,NITHISH P,Python,PY102,2,42,E
68,NITHISH P,Machine Learning,ML103,1,53,D
68,NITHISH P,English,GP104,1,51,D
68,NITHISH P,Database,CS105,1,93,S
69,NITHISHVARAN S,Mathematics,MATH101,1,32,F
69,NITHISHVARAN S,Mathematics,MATH101,2,46,D
69,NITHISHVARAN S,Python,PY102,1,79,A
69,NITHISHVARAN S,Machine Learning,ML103,1,64,C
69,NITHISHVARAN S,English,GP104,1,73,B
69,NITHISHVARAN S,Database,CS105,1,53,D
70,NITHIYA GOKULA VASAKI K,Mathematics,MATH101,1,87,S
70,NITHIYA GOKULA VASAKI K,Python,PY102,1,59,C
70,NITHIYA GOKULA VASAKI K,Machine Learning,ML103,1,62,C
70,NITHIYA GOKULA VASAKI K,English,GP104,1,68,B
70,NITHIYA GOKULA VASAKI K,Database,CS105,1,31,F
70,NITHIYA GOKULA VASAKI K,Database,CS105,2,43,E
71,PAVITHRA R,Mathematics,MATH101,1,45,D
71,PAVITHRA R,Python,PY102,1,30,F
71,PAVITHRA R,Python,PY102,2,39,E
71,PAVITHRA R,Machine Learning,ML103,1,88,S
71,PAVITHRA R,English,GP104,1,32,F
71,PAVITHRA R,English,GP104,2,41,E
71,PAVITHRA R,Database,CS105,1,83,A
72,PRATHIYUKSHA JAGANATHAN,Mathematics,MATH101,1,82,A
72,PRATHIYUKSHA JAGANATHAN,Python,PY102,1,64,C
72,PRATHIYUKSHA JAGANATHAN,Machine Learning,ML103,1,35,E
72,PRATHIYUKSHA JAGANATHAN,English,GP104,1,52,D
72,PRATHIYUKSHA JAGANATHAN,Database,CS105,1,73,B
73,PREM M,Mathematics,MATH101,1,96,S
73,PREM M,Python,PY102,1,98,S
73,PREM M,Machine Learning,ML103,1,65,B
73,PREM M,English,GP104,1,96,S
73,PREM M,Database,CS105,1,79,A
74,PRETHEGA S N,Mathematics,MATH101,1,100,S
74,PRETHEGA S N,Python,PY102,1,71,B
74,PRETHEGA S N,Machine Learning,ML103,1,57,C
74,PRETHEGA S N,English,GP104,1,56,C
74,PRETHEGA S N,Database,CS105,1,69,B
75,PRITHISHAA SRI S,Mathematics,MATH101,1,77,A
75,PRITHISHAA SRI S,Python,PY102,1,65,B
75,PRITHISHAA SRI S,Machine Learning,ML103,1,58,C
75,PRITHISHAA SRI S,English,GP104,1,83,A
75,PRITHISHAA SRI S,Database,CS105,1,70,B
76,PRIYADHARSHINI R,Mathematics,MATH101,1,69,B
76,PRIYADHARSHINI R,Python,PY102,1,68,B
76,PRIYADHARSHINI R,Machine Learning,ML103,1,46,D
76,PRIYADHARSHINI R,English,GP104,1,63,C
76,PRIYADHARSHINI R,Database,CS105,1,62,C
77,PRIYANKA B,Mathematics,MATH101,1,51,D
77,PRIYANKA B,Python,PY102,1,68,B
77,PRIYANKA B,Machine Learning,ML103,1,82,A
77,PRIYANKA B,English,GP104,1,55,C
77,PRIYANKA B,Database,CS105,1,86,S
78,RAGUL M,Mathematics,MATH101,1,47,D
78,RAGUL M,Python,PY102,1,56,C
78,RAGUL M,Machine Learning,ML103,1,41,E
78,RAGUL M,English,GP104,1,54,D
78,RAGUL M,Database,CS105,1,99,S
79,RAJKUMAR G,Mathematics,MATH101,1,71,B
79,RAJKUMAR G,Python,PY102,1,74,B
79,RAJKUMAR G,Machine Learning,ML103,1,30,F
79,RAJKUMAR G,Machine Learning,ML103,2,42,E
79,RAJKUMAR G,English,GP104,1,96,S
79,RAJKUMAR G,Database,CS105,1,71,B
80,RAKSHITHA S,Mathematics,MATH101,1,72,B
80,RAKSHITHA S,Python,PY102,1,67,B
80,RAKSHITHA S,Machine Learning,ML103,1,69,B
80,RAKSHITHA S,English,GP104,1,85,S
80,RAKSHITHA S,Database,CS105,1,52,D
81,RAMYA SRI M,Mathematics,MATH101,1,71,B
81,RAMYA SRI M,Python,PY102,1,44,E
81,RAMYA SRI M,Machine Learning,ML103,1,81,A
81,RAMYA SRI M,English,GP104,1,41,E
81,RAMYA SRI M,Database,CS105,1,71,B
82,RASWANT P,Mathematics,MATH101,1,30,F
82,RASWANT P,Mathematics,MATH101,2,41,E
82,RASWANT P,Python,PY102,1,60,C
82,RASWANT P,Machine Learning,ML103,1,44,E
82,RASWANT P,English,GP104,1,56,C
82,RASWANT P,Database,CS105,1,61,C
83,RISHIKA T,Mathematics,MATH101,1,50,D
83,RISHIKA T,Python,PY102,1,50,D
83,RISHIKA T,Machine Learning,ML103,1,86,S
83,RISHIKA T,English,GP104,1,61,C
83,RISHIKA T,Database,CS105,1,75,A
84,ROHITH EASWAR D,Mathematics,MATH101,1,56,C
84,ROHITH EASWAR D,Python,PY102,1,45,D
84,ROHITH EASWAR D,Machine Learning,ML103,1,56,C
84,ROHITH EASWAR D,English,GP104,1,92,S
84,ROHITH EASWAR D,Database,CS105,1,50,D
85,RUBHESH S R,Mathematics,MATH101,1,35,E
85,RUBHESH S R,Python,PY102,1,95,S
85,RUBHESH S R,Machine Learning,ML103,1,85,S
85,RUBHESH S R,English,GP104,1,63,C
85,RUBHESH S R,Database,CS105,1,45,D
86,SAGANA K,Mathematics,MATH101,1,41,E
86,SAGANA K,Python,PY102,1,86,S
86,SAGANA K,Machine Learning,ML103,1,47,D
86,SAGANA K,English,GP104,1,32,F
86,SAGANA K,English,GP104,2,39,E
86,SAGANA K,Database,CS105,1,35,E
87,SAKTHINARAYANAN S,Mathematics,MATH101,1,56,C
87,SAKTHINARAYANAN S,Python,PY102,1,98,S
87,SAKTHINARAYANAN S,Machine Learning,ML103,1,88,S
87,SAKTHINARAYANAN S,English,GP104,1,69,B
87,SAKTHINARAYANAN S,Database,CS105,1,65,B
88,SAM DANIEL VINCY D,Mathematics,MATH101,1,99,S
88,SAM DANIEL VINCY D,Python,PY102,1,80,A
88,SAM DANIEL VINCY D,Machine Learning,ML103,1,69,B
88,SAM DANIEL VINCY D,English,GP104,1,40,E
88,SAM DANIEL VINCY D,Database,CS105,1,89,S
89,SANGEETHA R K,Mathematics,MATH101,1,73,B
89,SANGEETHA R K,Python,PY102,1,83,A
89,SANGEETHA R K,Machine Learning,ML103,1,76,A
89,SANGEETHA R K,English,GP104,1,64,C
89,SANGEETHA R K,Database,CS105,1,70,B
90,SARAVANAN S,Mathematics,MATH101,1,65,B
90,SARAVANAN S,Python,PY102,1,100,S
90,SARAVANAN S,Machine Learning,ML103,1,83,A
90,SARAVANAN S,English,GP104,1,96,S
90,SARAVANAN S,Database,CS105,1,83,A
91,SARVESHWAR P,Mathematics,MATH101,1,53,D
91,SARVESHWAR P,Python,PY102,1,38,E
91,SARVESHWAR P,Machine Learning,ML103,1,64,C
91,SARVESHWAR P,English,GP104,1,99,S
91,SARVESHWAR P,Database,CS105,1,74,B
92,SASIREKHA K,Mathematics,MATH101,1,76,A
92,SASIREKHA K,Python,PY102,1,94,S
92,SASIREKHA K,Machine Learning,ML103,1,73,B
92,SASIREKHA K,English,GP104,1,58,C
92,SASIREKHA K,Database,CS105,1,97,S
93,SENDHAANE I,Mathematics,MATH101,1,37,E
93,SENDHAANE I,Python,PY102,1,54,D
93,SENDHAANE I,Machine Learning,ML103,1,34,F
93,SENDHAANE I,Machine Learning,ML103,2,45,D
93,SENDHAANE I,English,GP104,1,79,A
93,SENDHAANE I,Database,CS105,1,30,F
93,SENDHAANE I,Database,CS105,2,37,E
94,SHALINI M,Mathematics,MATH101,1,66,B
94,SHALINI M,Python,PY102,1,31,F
94,SHALINI M,Python,PY102,2,44,E
94,SHALINI M,Machine Learning,ML103,1,99,S
94,SHALINI M,English,GP104,1,33,F
94,SHALINI M,English,GP104,2,46,D
94,SHALINI M,Database,CS105,1,79,A
95,SHAM GANESH S,Mathematics,MATH101,1,88,S
95,SHAM GANESH S,Python,PY102,1,40,E
95,SHAM GANESH S,Machine Learning,ML103,1,52,D
95,SHAM GANESH S,English,GP104,1,94,S
95,SHAM GANESH S,Database,CS105,1,100,S
96,SHARLI S,Mathematics,MATH101,1,43,E
96,SHARLI S,Python,PY102,1,65,B
96,SHARLI S,Machine Learning,ML103,1,77,A
96,SHARLI S,English,GP104,1,83,A
96,SHARLI S,Database,CS105,1,38,E
97,SHUAIB MUSTHAFA M,Mathematics,MATH101,1,30,F
97,SHUAIB MUSTHAFA M,Mathematics,MATH101,2,44,E
97,SHUAIB MUSTHAFA M,Python,PY102,1,59,C
97,SHUAIB MUSTHAFA M,Machine Learning,ML103,1,87,S
97,SHUAIB MUSTHAFA M,English,GP104,1,94,S
97,SHUAIB MUSTHAFA M,Database,CS105,1,70,B
98,SHYAAM KUMAR S,Mathematics,MATH101,1,52,D
